4:586
589000,79,4,2,#301
425000,74,1,1,#302
950000,153,4,2,#303
469000,65,1,1,#304
479000,51,0,1,#305
579000,106,3,2,#306
840000,105,3,2,#307
728000,114,3,2,#308
133900,83,2,1,#309
899000,78,2,1,#310
479000,53,1,1,#311
2000000,110,2,2,#312
4850000,191,3,3,#313
4350000,546,10,5,#314
584000,66,1,1,#315
3550000,149,2,2,#316
698000,55,1,1,#317
1749000,169,3,3,#318
579000,113,4,1,#319
785000,163,5,4,#320
299000,60,1,1,#321
849000,122,3,2,#322
650000,195,2,1,#323
925000,71,1,1,#324
450000,104,3,2,#325
725000,78,1,1,#326
879000,80,2,2,#327
975000,178,4,2,#328
615000,41,0,1,#329
1599000,200,4,3,#330
1780000,299,7,5,#331
999989,278,5,4,#332
5850000,503,4,4,#333
4495000,250,4,5,#334
440000,68,1,1,#335
1200000,176,2,1,#336
165000,78,2,1,#337
1050000,74,1,1,#338
765000,42,0,1,#339
8200000,189,3,4,#340
980000,57,1,1,#341
262900,161,3,1,#342
669000,95,3,2,#343
380000,121,3,1,#344
880000,216,4,3,#345
639000,183,3,2,#346
799000,301,4,3,#347
560000,111,2,1,#348
528000,167,3,2,#349
975000,325,6,4,#350
529000,128,3,2,#351
799000,289,8,3,#352
1695000,128,2,3,#353
1295000,113,2,1,#354
1665000,137,3,3,#355
1325000,106,1,2,#356
769000,71,1,1,#357
2095000,160,3,2,#358
800000,65,1,1,#359
775000,63,2,1,#360
229000,55,0,1,#361
1598000,306,10,4,#362
899999,272,5,3,#363
988000,143,4,2,#364
999888,153,5,2,#365
588000,74,2,2,#366
1680000,320,8,6,#367
3250000,520,7,3,#368
1150000,84,2,1,#369
1580000,130,2,1,#370
789000,50,1,1,#371
235000,65,1,1,#372
1290000,265,9,3,#373
659998,104,4,1,#374
429000,105,2,2,#375
929000,274,6,5,#376
649000,172,3,3,#377
615000,65,1,1,#378
5125000,252,4,4,#379
9895990,327,5,5,#380
749900,188,5,2,#381
799000,97,2,1,#382
225000,77,2,1,#383
849000,83,3,2,#384
335000,80,2,1,#385
859000,240,5,3,#386
425000,130,3,2,#387
2595000,232,3,2,#388
699000,120,3,1,#389
338000,88,3,1,#390
979000,108,3,2,#391
698000,97,3,2,#392
199000,76,2,1,#393
699000,185,3,2,#394
719000,85,2,2,#395
1490000,205,7,3,#396
2600000,348,12,6,#397
819000,69,1,1,#398
729000,167,8,3,#399
325000,116,2,1,#400
435000,114,3,1,#401
969000,177,4,2,#402
629000,274,7,3,#403
849000,172,4,3,#404
775000,56,1,1,#405
750000,334,4,2,#406
1825000,359,5,3,#407
1199000,175,3,2,#408
628000,82,2,2,#409
599000,60,2,2,#410
538000,337,3,3,#411
499000,120,3,2,#412
585000,136,4,2,#413
599000,167,4,2,#414
588000,130,3,2,#415
680000,86,2,2,#416
999000,98,1,2,#417
1500000,111,2,2,#418
480000,124,3,1,#419
669000,157,3,2,#420
1175000,236,4,3,#421
1875000,209,5,3,#422
688000,84,2,2,#423
579000,139,4,2,#424
575000,182,3,1,#425
615000,97,2,1,#426
375000,108,3,2,#427
185000,88,2,1,#428
325000,86,3,1,#429
889000,294,3,3,#430
288800,111,2,1,#431
1200000,194,5,2,#432
699000,120,3,1,#433
1525000,75,1,1,#434
1750000,80,2,2,#435
2275000,112,2,3,#436
1185000,56,1,1,#437
869000,75,1,1,#438
3725000,209,3,3,#439
10000000,267,3,4,#440
11000000,1013,10,10,#441
519000,102,2,1,#442
525000,78,2,1,#443
589000,113,4,3,#444
1600000,146,2,2,#445
1075000,78,0,1,#446
702367,59,1,1,#447
2400000,282,6,4,#448
929000,211,6,2,#449
785000,165,5,3,#450
749000,384,6,2,#451
687500,183,4,2,#452
1100000,90,2,2,#453
330000,60,0,1,#454
9600000,301,4,4,#455
9000000,270,4,4,#456
3675000,167,2,2,#457
299000,130,3,1,#458
1599990,222,5,5,#459
17500000,371,3,4,#460
310000,69,1,1,#461
1695000,127,3,2,#462
1450000,102,2,2,#463
2395000,143,3,2,#464
1595000,106,2,2,#465
1695000,118,3,2,#466
6900000,1086,22,12,#467
995000,66,1,1,#468
1995000,157,3,2,#469
14950000,315,4,4,#470
618000,74,2,1,#471
2275000,313,7,3,#472
619180,77,1,1,#473
1600000,270,7,4,#474
1388000,282,3,2,#475
989000,362,6,5,#476
449000,162,2,1,#477
485000,141,3,2,#478
400000,139,2,2,#479
1495000,108,2,2,#480
569900,185,6,2,#481
665000,115,2,1,#482
389900,221,3,1,#483
799000,301,6,3,#484
795000,217,3,3,#485
1850000,138,3,2,#486
1440000,104,2,2,#487
729000,167,4,4,#488
999000,280,9,3,#489
650000,104,3,1,#490
349000,74,1,1,#491
599000,241,6,2,#492
875000,65,1,1,#493
1550000,129,3,2,#494
699900,173,3,2,#495
