4:4000
1899000,309,8,3,#114
995000,408,4,3,#115
3999000,1194,5,6,#116
399000,109,4,2,#117
995000,113,3,2,#118
680000,148,3,2,#119
499000,133,3,2,#120
15450000,626,8,8,#121
4970000,165,2,2,#122
1600000,334,9,4,#123
3995000,215,4,4,#124
1295000,111,2,1,#125
3415000,132,2,2,#126
1250000,88,3,2,#127
3250000,189,3,3,#128
1895000,96,2,2,#129
950000,67,1,1,#130
1200000,48,1,1,#131
1125000,167,6,4,#132
579000,118,5,2,#133
948000,115,3,2,#134
799000,47,0,1,#135
1200000,278,6,4,#136
865500,41,0,1,#137
2499000,204,2,2,#138
1900000,111,11,3,#139
129000,69,1,1,#140
1088000,279,4,2,#141
221000,79,3,1,#142
589000,115,2,2,#143
499999,175,3,2,#144
1798000,277,5,4,#145
829000,204,6,3,#146
238888,65,1,1,#147
880000,199,3,3,#148
349000,78,1,1,#149
2100000,95,1,1,#150
1100000,116,2,2,#151
1398000,130,4,3,#152
1500000,91,0,1,#153
845000,60,1,1,#154
1225000,128,2,2,#155
450000,44,0,1,#156
999000,162,2,3,#157
940000,68,1,1,#158
2900000,237,4,4,#159
1440000,101,2,2,#160
1585000,101,2,2,#161
575000,58,1,1,#162
699000,75,2,2,#163
1100000,142,3,3,#164
583000,59,1,1,#165
574000,59,1,1,#166
998000,98,2,2,#167
565000,58,1,1,#168
597000,59,1,1,#169
946000,87,2,2,#170
1725000,109,2,2,#171
174900,65,1,1,#172
360000,85,2,1,#173
649000,107,3,3,#174
708000,89,2,1,#175
1198000,111,4,2,#176
699000,172,4,2,#177
565000,134,3,1,#178
319000,74,1,1,#179
849900,177,4,2,#180
525000,137,3,2,#181
457000,89,1,2,#182
6135990,231,4,4,#183
2720990,111,2,2,#184
4025990,163,3,3,#185
1960000,79,1,1,#186
2050000,82,1,1,#187
2400000,91,1,1,#188
3710000,134,2,2,#189
3780000,128,2,2,#190
4120000,145,2,2,#191
4800000,168,3,3,#192
3125000,122,2,2,#193
3725000,130,2,2,#194
3855000,154,2,2,#195
6310000,186,3,3,#196
1900000,71,1,1,#197
3830000,131,2,2,#198
